INCIDENTNEIGHBORHOOD,OFFENSES
Central Oakland,2701 Simple Assault. / 5505 Public Drunkenness / 5503 Disorderly Conduct. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
Elliott,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Beltzhoover,4910 Tampering with or Fabricating Physical Evidence. / 13(a)(30) Possession w/ Intent to Del. Controlled Substance
Homewood South,3934 Theft from Vehicle
Middle Hill,3745 Accidents Involving Damage to Unattended Veh.or Prop.
East Allegheny,2701 Simple Assault.
Strip District,9998 Overdose Other
Brookline,3928 Unauthorized Use of Automobile and Other Vehicles.
East Liberty,2706 Terroristic Threats. / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16% / 3802(a)(1) DUI - General Impairment
Homewood South,3502 Burglary.
East Hills,2701 Simple Assault.
Mount Washington,9999 9999 - (Misc. Incident): 
Esplen,2701(a)(3) Simple Assault - Attempts by Physical Menace 
Larimer,3928 Unauthorized Use of Automobile and Other Vehicles.
Manchester,3921 Theft by Unlawful Taking or Disposition.
Carrick,3304 Criminal Mischief.
Morningside,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Brookline,2709(a) Harassment.
Westwood,9998 Overdose Other
Point Breeze North,9497 Aided Case
Central Lawrenceville,2701 Simple Assault. / 3304 Criminal Mischief. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF
Morningside,9992 Governor's Order Violation
Mount Washington,3934 Theft from Vehicle
Upper Lawrenceville,3502 Burglary.
Point Breeze North,3929 Retail Theft.
South Shore,9129 Miscellaneous Investigation
Mount Washington,9090 Recovered Firearm
Brookline,3701 Robbery. / 2701 Simple Assault.
Central North Side,9496 Dead on Arrival (DOA)
Brookline,9999 9999 - (Misc. Incident): 
Central Business District,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3503(b.1) Criminal Trespass - Simple Trespasser"
Marshall-Shadeland,029 Missing Juvenile
Perry South,9123 Miscellaneous Fire Other Investigation to Continue
Squirrel Hill North,9490 Missing Persons (18 and Over)
Outside City,9999 9999 - (Misc. Incident): Theft by deception outside of the city
Bedford Dwellings,3304 Criminal Mischief.
Carrick,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3503 Criminal Trespass
Bloomfield,3929 Retail Theft. / 907 Possessing Instruments of Crime.
East Hills,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Spring Hill-City View,2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours
Westwood,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Carrick,13(a)(32) Paraphernalia - Use or Possession
Mount Washington,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 3111 Obedience to Traffic-Control Devices.
Marshall-Shadeland,9094 Recovered Stolen Vehicle (OUTSIDE CITY)
Brookline,9998 Overdose Other
Homewood South,8106 Shots Fired
Homewood South,9094 Recovered Stolen Vehicle (OUTSIDE CITY)
Central Oakland,3921 Theft by Unlawful Taking or Disposition.
Lincoln-Lemington-Belmar,9129 Miscellaneous Investigation
Carrick,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession
Bedford Dwellings,2705 Recklessly Endangering Another Person. / 4304(a)(1) Endangering Welfare of Children.
Hazelwood,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Hazelwood,9497 Aided Case
Stanton Heights,627.02(b)(i) Possessing a small amount of marijuana
Sheraden,9999 9999 - (Misc. Incident): 
Brighton Heights,4120 Identity Theft / 4106 Access Device Fraud
Central Lawrenceville,9999 9999 - (Misc. Incident): 
Perry North,2706 Terroristic Threats. / 2701 Simple Assault.
Lincoln-Lemington-Belmar,3304 Criminal Mischief.
Brighton Heights,9501 Bench Warrant
Perry South,3502 Burglary. / 901 Criminal Attempt
Larimer,9093 Indirect Criminal Contempt
East Liberty,3736 Reckless Driving
East Liberty,9999 9999 - (Misc. Incident): 
Bloomfield,3934 Theft from Vehicle
Perry North,3934 Theft from Vehicle
Lincoln-Lemington-Belmar,9999 9999 - (Misc. Incident): 
Middle Hill,3304 Criminal Mischief.
Brighton Heights,3934 Theft from Vehicle
,9999 9999 - (Misc. Incident): SEXUALLY VIOLENT PREDATOR (COMMUNITY NOTIFICATION)
Central Business District,9497 Aided Case
Shadyside,13(a)(31) Marijuana: Possession Small Amount / 3334 Turning Movements and Required Signals.
Larimer,3304 Criminal Mischief.
Brighton Heights,13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use
California-Kirkbride,9497 Aided Case
Bloomfield,2709 Harassment (Non-Specific)
Perry North,9998 Overdose Other
Northview Heights,3304 Criminal Mischief.
South Side Flats,9992 Governor's Order Violation
Carrick,2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent
Central Business District,9496 Dead on Arrival (DOA)
Brookline,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 9489 Found Property
South Side Flats,2706 Terroristic Threats. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF
Squirrel Hill South,3503(b.1) Criminal Trespass - Simple Trespasser
Point Breeze North,3701 Robbery.
West Oakland,2709(a)(3) Harassment No Legitimate Purpose
Allentown,3701 Robbery.
Squirrel Hill South,9498 302 (Mental)
Homewood South,2709(a)(3) Harassment No Legitimate Purpose
Carrick,9999 9999 - (Misc. Incident): 
Manchester,2706 Terroristic Threats.
Allentown,2709(a) Harassment.
Elliott,029 Missing Juvenile
Bon Air,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
Central Business District,9490 Missing Persons (18 and Over)
Brighton Heights,3921(a) Theft by Unlawful Taking or Disposition - Movable item
East Allegheny,3934 Theft from Vehicle
Manchester,4106 Access Device Fraud
East Liberty,3743 Accidents Involving Damage to Attended Veh. or Property
Central Oakland,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Sheraden,9998 Overdose Other
Garfield,3921 Theft by Unlawful Taking or Disposition.
New Homestead,9999 9999 - (Misc. Incident): Dispatched injured deer 
Bluff,3304 Criminal Mischief.
North Oakland,3934 Theft from Vehicle / 3304 Criminal Mischief.
Allentown,4120 Identity Theft
Fairywood,13(a)(32) Paraphernalia - Use or Possession
Crafton Heights,3743 Accidents Involving Damage to Attended Veh. or Property
Friendship,9998 Overdose Other
Hays,3304 Criminal Mischief.
Beechview,9490 Missing Persons (18 and Over)
Homewood West,3743 Accidents Involving Damage to Attended Veh. or Property
East Allegheny,3701 Robbery.
Sheraden,9999 9999 - (Misc. Incident): 
Marshall-Shadeland,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Regent Square,9504 Lost Property
Homewood North,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 
Shadyside,9999 9999 - (Misc. Incident): 
East Liberty,2709 Harassment (Non-Specific)
Strip District,5506 Loitering and Prowling at Night
Brookline,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Brookline,9093 Indirect Criminal Contempt
Squirrel Hill South,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
Fairywood,9992 Governor's Order Violation
Knoxville,3934 Theft from Vehicle
Hazelwood,9496 Dead on Arrival (DOA)
East Hills,029 Missing Juvenile
South Side Flats,9999 9999 - (Misc. Incident): Dog rescue from Monogahela River
Sheraden,2709(a)(3) Harassment No Legitimate Purpose
Beltzhoover,9496 Dead on Arrival (DOA)
Bloomfield,2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent
Spring Hill-City View,425.26 Miscellaneous
Bluff,"5532(a)(2) Neglect of Animals - Neglect of Animals, Shelter/Protection, Bodily Injury"
,3121 Rape.
Westwood,9496 Dead on Arrival (DOA)
Troy Hill,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Crafton Heights,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Central Business District,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Perry South,5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF
Brighton Heights,3934 Theft from Vehicle
Sheraden,9993 PFA Service with Weapons Supplement
Squirrel Hill South,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 13(a)(32) Paraphernalia - Use or Possession"
East Hills,2701 Simple Assault.
Homewood North,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Homewood North,2706 Terroristic Threats. / 9501 Bench Warrant
Squirrel Hill South,3929 Retail Theft.
Bluff,2702 Aggravated Assault.
Central Business District,9999 9999 - (Misc. Incident): 
Carrick,2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 5505 Public Drunkenness / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE
Outside City,9993 PFA Service with Weapons Supplement
Squirrel Hill North,"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar) / 2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner / 3503(b.1)(i) Simple Trespasser -- threatening or terrorizing the owner or occupant of the premises"
Marshall-Shadeland,"3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc."
Fineview,3921 Theft by Unlawful Taking or Disposition.
Highland Park,9124 Drug Investigation
Highland Park,9124 Drug Investigation
Point Breeze North,029 Missing Juvenile
Mount Washington,3304 Criminal Mischief.
South Side Flats,3304 Criminal Mischief.
Knoxville,9093 Indirect Criminal Contempt
Upper Lawrenceville,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Bloomfield,3304 Criminal Mischief.
Chateau,3929 Retail Theft.
Allentown,9124 Drug Investigation
Perry North,2709 Harassment (Non-Specific)
Lower Lawrenceville,9999 9999 - (Misc. Incident): 
Brookline,2701 Simple Assault.
Brookline,3701 Robbery.
East Liberty,13(a)(31) Marijuana: Possession Small Amount / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3802(a)(1) DUI - General Impairment
Homewood West,9498 302 (Mental)
Central Business District,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
South Side Slopes,"3921(a) Theft by Unlawful Taking or Disposition - Movable item / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
Homewood North,3802(a)(1) DUI - General Impairment
South Oakland,9490 Missing Persons (18 and Over)
West End,9124 Drug Investigation
Banksville,3928 Unauthorized Use of Automobile and Other Vehicles.
Squirrel Hill South,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 
Crawford-Roberts,8106 Shots Fired
South Side Flats,9999 9999 - (Misc. Incident): 
Carrick,"3701 Robbery. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
Allentown,9999 9999 - (Misc. Incident): 
Bluff,3934 Theft from Vehicle / 3745 Accidents Involving Damage to Unattended Veh.or Prop.
East Allegheny,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
Central Oakland,9504 Lost Property
Bluff,"2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 6106 Firearms not to be Carried without a License. / 901 Criminal Attempt / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
Beechview,9496 Dead on Arrival (DOA)
Homewood South,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 4303 General Lighting Requirements.
Central Business District,"5901 Open Lewdness. / 5505 Public Drunkenness / 5503 Disorderly Conduct. / 601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property"
Garfield,3502 Burglary.
Homewood North,029 Missing Juvenile
Allentown,9124 Drug Investigation
Shadyside,3502 Burglary.
Central Business District,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2706 Terroristic Threats. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 3503(b.1) Criminal Trespass - Simple Trespasser"
Bedford Dwellings,3701 Robbery. / 3304 Criminal Mischief. / 13(a)(32) Paraphernalia - Use or Possession
California-Kirkbride,9497 Aided Case
Banksville,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
Bloomfield,3929 Retail Theft.
Allentown,9124 Drug Investigation
Manchester,9999 9999 - (Misc. Incident): 
Troy Hill,3304 Criminal Mischief.
South Side Slopes,9999 9999 - (Misc. Incident): Drug Induced Excited Delirium
Stanton Heights,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck"
Brookline,9999 9999 - (Misc. Incident): 
Beechview,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3928 Unauthorized Use of Automobile and Other Vehicles.
Bedford Dwellings,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
South Side Flats,2701 Simple Assault. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance
Mount Washington,3934 Theft from Vehicle / 3304 Criminal Mischief.
Lower Lawrenceville,3745 Accidents Involving Damage to Unattended Veh.or Prop.
East Allegheny,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Fineview,3921 Theft by Unlawful Taking or Disposition.
Hazelwood,2709 Harassment (Non-Specific)
Central Business District,9504 Lost Property
Carrick,9999 9999 - (Misc. Incident): 
Perry North,029 Missing Juvenile
Crafton Heights,2709 Harassment (Non-Specific) / 3304 Criminal Mischief.
California-Kirkbride,2709(a) Harassment.
Allentown,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Mount Washington,9496 Dead on Arrival (DOA)
Central Oakland,9999 9999 - (Misc. Incident): 
Highland Park,9999 9999 - (Misc. Incident): 
Squirrel Hill North,3921 Theft by Unlawful Taking or Disposition.
South Side Flats,9999 9999 - (Misc. Incident): 
Lincoln Place,2702 Aggravated Assault. / 3502 Burglary. / 2701 Simple Assault. / 5503 Disorderly Conduct. / 3503 Criminal Trespass
North Oakland,2710 Ethnic Intimidation. / 2706 Terroristic Threats. / 2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours / 2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner
Westwood,9496 Dead on Arrival (DOA)
Allegheny Center,2701 Simple Assault.
South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Point Breeze,3502 Burglary.
Larimer,3934 Theft from Vehicle / 3304 Criminal Mischief.
Knoxville,3701 Robbery. / 2701 Simple Assault. / 2706 Terroristic Threats.
Upper Lawrenceville,9496 Dead on Arrival (DOA)
Glen Hazel,9497 Aided Case
Hazelwood,9496 Dead on Arrival (DOA)
Hazelwood,3304 Criminal Mischief. / 3503(b.1)(1)(iii) Criminal Trespass/Simple Trespasser - Defacing or Damaging the Premises
West Oakland,9999 9999 - (Misc. Incident): Found Juvenile 
Perry South,3304 Criminal Mischief.
Central Lawrenceville,3304 Criminal Mischief.
Allentown,9122 Miscellaneous Fire Vehicle Investigation to Continue
Bluff,2701(a)(3) Simple Assault - Attempts by Physical Menace 
Brookline,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item
Highland Park,9124 Drug Investigation
Central Business District,9999 9999 - (Misc. Incident): Construction Fire
East Allegheny,5507 Obstructing Highways and Passages.
Central Business District,5503 Disorderly Conduct.
Brookline,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Strip District,2706 Terroristic Threats.
South Side Flats,9998 Overdose Other
Marshall-Shadeland,0291 Located Runaway - Outside City
South Side Slopes,9999 9999 - (Misc. Incident): 
Central Business District,4101 Forgery.
Hazelwood,3304 Criminal Mischief. / 3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure
California-Kirkbride,9124 Drug Investigation
Shadyside,3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure
Banksville,9496 Dead on Arrival (DOA)
New Homestead,2709(a)(4) Harassment Communicates Prohibited Acts
South Shore,9992 Governor's Order Violation
East Allegheny,9992 Governor's Order Violation
Chateau,13(a)(16) Possession of Controlled Substance
Bedford Dwellings,3701 Robbery. / 3304 Criminal Mischief.
Central Oakland,9129 Miscellaneous Investigation
Point Breeze North,3934 Theft from Vehicle
Westwood,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Shadyside,3701 Robbery.
Central Business District,2709(a) Harassment. / 4912 Impersonating a Public Servant. / 3733 Fleeing or Attempting to Elude Police Officer / 1543 Driving While Operating Privilege is Suspended or Revoked.
Allentown,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats.
,3124.1 Sexual Assault
Brookline,9498 302 (Mental)
Beechview,9498 302 (Mental)
Crafton Heights,2709(a) Harassment.
Allentown,2706 Terroristic Threats.
Carrick,9498 302 (Mental)
Knoxville,9999 9999 - (Misc. Incident): 
Spring Hill-City View,9498 302 (Mental)
Middle Hill,2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours
Manchester,3934 Theft from Vehicle
East Liberty,3743 Accidents Involving Damage to Attended Veh. or Property / 3742 Accidents Involving Death or Personal Injury / 3744 Duty to Give Information and Render Aid
West End,9124 Drug Investigation
Bloomfield,3502 Burglary.
Knoxville,9497 Aided Case
Perry North,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 
Allentown,9124 Drug Investigation
Squirrel Hill South,9999 9999 - (Misc. Incident): 
Homewood North,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Highland Park,9124 Drug Investigation
Squirrel Hill South,9489 Found Property
Perry South,9497 Aided Case
Homewood South,3301 Arson 
Greenfield,9495 Suicide
Manchester,8106 Shots Fired
Morningside,3922 Theft by Deception.
Outside State,9999 9999 - (Misc. Incident): traffic accident
Shadyside,3934 Theft from Vehicle / 903 Criminal Conspiracy.
South Side Flats,9497 Aided Case
Hazelwood,2901 Kidnapping.
,6312 Sexual Abuse of Children.
Oakwood,3923 Theft by Extortion.
Polish Hill,9999 (Misc. Crime): 
Polish Hill,3502 Burglary.
Central Lawrenceville,9496 Dead on Arrival (DOA)
South Side Flats,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Spring Hill-City View,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(16) Possession of Controlled Substance"
Upper Hill,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Central Business District,3304 Criminal Mischief.
Chateau,2709.1 Stalking Conduct or Repeatedly Acts Including Follows
Mount Washington,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Perry North,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Squirrel Hill South,3921(a) Theft by Unlawful Taking or Disposition - Movable item
East Liberty,3929 Retail Theft. / 9501 Bench Warrant
Outside City,9996 Accelerant Detection K9 Request (Out of City)
Squirrel Hill South,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 5105 Hindering Apprehension or Prosecution. / 4703 Operation of Vehicle without Official Certif. of Inspection / 3743 Accidents Involving Damage to Attended Veh. or Property / 4706 Prohib. on Expend. for Emission Insp Prog.. / 1786 Required Financial Responsibility. / 3736 Reckless Driving
Central Business District,9496 Dead on Arrival (DOA)
East Liberty,13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 1311 Registration Card to be Signed and Exhibited on Demand. / 1301 Registration and Certificate of Title Required. / 1376 Surrender of Reg. Upon Susp. or Revocation. / 1511 Carrying and Exhibiting Driver's License on Demand. / 1371 Operation Following Suspension of Registration. / 1501 Drivers Required to be Licensed. / 1786 Required Financial Responsibility.
Crawford-Roberts,9999 9999 - (Misc. Incident): 
Carrick,2701 Simple Assault.
Carrick,9999 9999 - (Misc. Incident): 
Lower Lawrenceville,9489 Found Property
East Carnegie,9489 Found Property
Sheraden,2707.1 Discharge of a Firearm into Occupied Structure / 3304 Criminal Mischief. / 607.03 Discharging Firearm or Airgun
North Oakland,3921 Theft by Unlawful Taking or Disposition.
Lower Lawrenceville,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Highland Park,3934 Theft from Vehicle
Hazelwood,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Morningside,3934 Theft from Vehicle
Brighton Heights,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Westwood,9999 9999 - (Misc. Incident): Non-Reportable Accident
Central Business District,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Perry North,3304 Criminal Mischief.
Overbrook,2709 Harassment (Non-Specific)
Manchester,2701 Simple Assault.
Perry North,9093 Indirect Criminal Contempt
South Side Flats,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701(a)(3) Simple Assault - Attempts by Physical Menace "
Homewood South,2702 Aggravated Assault. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 8106 Shots Fired
Bloomfield,2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 9498 302 (Mental) / 2703.1 Aggravated Harassment by Prisoner
Homewood West,3304 Criminal Mischief.
Windgap,8106 Shots Fired
Overbrook,3502 Burglary.
Crafton Heights,9497 Aided Case
Marshall-Shadeland,9498 302 (Mental)
East Liberty,9999 9999 - (Misc. Incident): GOVERNOR'S ORDER VIOLATION
South Side Flats,3929 Retail Theft.
East Carnegie,9490 Missing Persons (18 and Over)
Beltzhoover,3304 Criminal Mischief.
Bluff,3502 Burglary. / 3304 Criminal Mischief.
Knoxville,9497 Aided Case
Carrick,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Larimer,9012 Non-Violent Domestic
Perry South,8106 Shots Fired
Mount Washington,3921 Theft by Unlawful Taking or Disposition. / 2705 Recklessly Endangering Another Person.
Bedford Dwellings,2709(a) Harassment.
Shadyside,9490 Missing Persons (18 and Over)
Crawford-Roberts,3934 Theft from Vehicle
Brookline,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 
Terrace Village,3921 Theft by Unlawful Taking or Disposition.
Homewood North,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Fairywood,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Perry South,2701(a)(3) Simple Assault - Attempts by Physical Menace 
Squirrel Hill North,2709(a)(3) Harassment No Legitimate Purpose
Carrick,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Perry South,2702 Aggravated Assault. / 3304 Criminal Mischief.
Outside State,9094 Recovered Stolen Vehicle (OUTSIDE CITY)
Highland Park,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3736 Reckless Driving / 907 Possessing Instruments of Crime. / 903 Criminal Conspiracy. / 607.03 Discharging Firearm or Airgun / 2707 Propulsion of Missiles  / 903 Criminal Conspiracy. / 903 Criminal Conspiracy. / 903 Criminal Conspiracy. / 903 Criminal Conspiracy.
East Hills,029 Missing Juvenile
East Allegheny,3929 Retail Theft.
Knoxville,5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF
Glen Hazel,2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 2706 Terroristic Threats.
South Oakland,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake. / 4106 Access Device Fraud"
Greenfield,9999 9999 - (Misc. Incident): Civil Matter
North Oakland,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
South Side Slopes,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud
Homewood South,3934 Theft from Vehicle
North Oakland,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Lower Lawrenceville,9999 9999 - (Misc. Incident): Scam Call
Squirrel Hill South,3743 Accidents Involving Damage to Attended Veh. or Property
Beechview,9500 Conversion - Field Contact Report
East Liberty,3929 Retail Theft.
Central Business District,2706 Terroristic Threats. / 5505 Public Drunkenness / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE
Bluff,9129 Miscellaneous Investigation
Allentown,"2706 Terroristic Threats. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
Brighton Heights,4910 Tampering with or Fabricating Physical Evidence. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 4303 General Lighting Requirements.
East Hills,2701 Simple Assault.
Central Lawrenceville,3922 Theft by Deception.
West End,9124 Drug Investigation
Central North Side,3934 Theft from Vehicle
Carrick,2709.A3 HARASSMENT - COURSE OF CONDUCT W/NO LEGIT. PURPOSE
Marshall-Shadeland,9497 Aided Case
East Liberty,3929 Retail Theft.
Knoxville,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
East Liberty,3934 Theft from Vehicle
Sheraden,2702 Aggravated Assault.
Bloomfield,3929 Retail Theft.
Homewood North,9129 Miscellaneous Investigation
Troy Hill,2701 Simple Assault. / 2701(a)(3) Simple Assault - Attempts by Physical Menace 
Glen Hazel,9129 Miscellaneous Investigation
West End,9998 Overdose Other
East Allegheny,3929 Retail Theft.
Fineview,9488 False  Burglar Alarm
South Side Flats,3929 Retail Theft.
East Liberty,2709(a) Harassment. / 3922 Theft by Deception.
South Side Flats,3745 Accidents Involving Damage to Unattended Veh.or Prop.
Greenfield,9496 Dead on Arrival (DOA)
Highland Park,9124 Drug Investigation
Sheraden,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Squirrel Hill North,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Central Business District,2709(a)(2) Harassment by Following Person in Public Place(s)
Central Business District,9497 Aided Case
Brighton Heights,9123 Miscellaneous Fire Other Investigation to Continue
Bloomfield,9496 Dead on Arrival (DOA)
Fineview,2701 Simple Assault.
Hazelwood,3304 Criminal Mischief. / 3503 Criminal Trespass
Perry South,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Perry South,3934 Theft from Vehicle
Homewood South,9496 Dead on Arrival (DOA)
Marshall-Shadeland,9012 Non-Violent Domestic
Sheraden,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
Larimer,9498 302 (Mental)
Central Business District,2706 Terroristic Threats.
Overbrook,9496 Dead on Arrival (DOA)
Arlington,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): Illegal Dumping
Chateau,9124 Drug Investigation
South Side Slopes,3934 Theft from Vehicle
Sheraden,3921(a) Theft by Unlawful Taking or Disposition - Movable item
South Side Slopes,3934 Theft from Vehicle
Bluff,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
East Liberty,3304 Criminal Mischief.
Point Breeze North,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
Sheraden,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Knoxville,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
Homewood North,3304 Criminal Mischief.
Homewood North,3921(a) Theft by Unlawful Taking or Disposition - Movable item
Highland Park,9124 Drug Investigation
Central Business District,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
